target,emotion_intensity,sombre,content,calm,uneasy,num_colours,num_objects,willing_to_pay,season_Spring,season_Summer,season_Fall,season_Winter,room_Bedroom,room_Bathroom,room_Office,room_Living_room,room_Dining_room,view_Friends,view_Family_members,view_Coworkers_Classmates,view_Strangers,view_By_yourself,feeling_desc,food,soundtrack
0,7.0,3.0,4.0,4.0,2.0,5.0,3.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,5.0,4.0,3.0,2.0,1.0,2.0,4.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,"The clocks are burnt on a hot desert, it embodies the melancholy of time passing. The dominant yellow hue intensifies this sensation.",Fries,A country song that contrasts nostalgia for the past with dissatisfaction with the present.
0,7.0,4.0,1.0,1.0,4.0,4.0,3.0,5.0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,This painting makes me feel dread. The clock reminds me of a ticking time until the death of the creature in the picture.,Sardines,A melancholy instrumental with a monotone voice singing gloomy lyrics like Creep by radiohead.
0,7.0,4.0,1.0,2.0,4.0,10.0,7.0,100.0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,Deflated,a,q
0,7.0,3.0,4.0,5.0,3.0,4.0,6.0,300.0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,The painting gives me a sense of calmness and plenitude. It has an ominous and nostalgic feeling similar to time passing. ,Churros.,Radiohead's album in rainbows.
0,7.0,4.0,2.0,1.0,5.0,5.0,6.0,90000.0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,"This painting makes me feel a bit confused and bewildered, as the objects and art style make me feel detached from reality.",Shepherd's pie,"The soundtrack should sound heavy, sombre, and like a finale to an event. It should be slow but without too much emotion."
0,8.0,4.0,2.0,2.0,4.0,3.0,3.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,It has a sorrow feeling and clock is melting feel like time is decaying.,10 days old lasagna,"A truly sorrow, minor key orchestra piece"
0,4.0,4.0,2.0,2.0,4.0,7.0,8.0,150.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,"The painting makes me feel somewhat sad, thinking about the passage of time.",Grilled Salmon with a Beurre Blanc sauce.,"Slow, somewhat sad piano or violin piece."
0,8.0,5.0,2.0,2.0,4.0,3.0,4.0,20.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,"eerie, moody, confused",pizza,ticking clock horror movie soundtrack
0,10.0,5.0,3.0,1.0,5.0,3.0,5.0,100.0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,"The painting gives me a sense of nostalgia and mourning. Although the setting is surreal, it feels like I am looking at a part of my life which has gone and passed forever and is warped upon reflection.",flan,"The soundtrack would be somber and nostalgic, with a solemn yearning for the past. "
0,7.0,4.0,2.0,4.0,3.0,3.0,5.0,400.0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,The painting makes me feel lathargic.,Soup,Low bpm
0,8.0,3.0,2.0,3.0,3.0,3.0,3.0,1000.0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,World goes to an end.,A black chocolate.,"The soundtrack is cold, giving a scene of  million years after a global disaster."
0,7.0,5.0,1.0,2.0,5.0,7.0,8.0,5000000.0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,I feel shocked and discomfort.,oreo,A very solemn soundtrack.
0,6.0,4.0,3.0,4.0,4.0,5.0,3.0,100000.0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,"The painting makes me feel nostalgic and sad. The sunset conveys a calming ending feeling while the clocks melting away induces a feeling of the duration and longing where time loses its meaning. While it conveys to me of the inevitable passing of my limited amount of time, it also reminds me of the greatest times and memories I have experienced in my life.",A chocolate dessert,"Slow, calm rhythm. No intense variations in melody. Strongly harmonic."
0,3.0,4.0,3.0,4.0,1.0,3.0,5.0,5000.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,It makes me feel a bit anxious or sad since it seems to symbolize time melting away.,Scrambled eggs,It would probably be slow and a little sad but not creepy or eerie.
